,x
603,1
604,0
605,1
606,1
607,0
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,1
714,1
715,0
716,1
717,1
718,1
